Sample ID,Sample Type,Sample Name,Cultivator Batch ID,Cultivar Name,Norbaeocystin (mg/g),Baeocystin (mg/g),Psilocybin (mg/g),Psilocin (mg/g)
T-587,Bark,Rep 18,,Mimosa hostilis,0,0,0,0
T-588,Bark,Rep 19,,,0,0,0,0
T-589,Fruit,ODPE,,Psilocybe Cubensis,0.037,0.1061,3.9102,2.0177
T-590,Fruit,APE-2,,Psilocybe Cubensis,0.137,0.5974,15.5061,0.6983
T-591,Fruit,Yeti,,Psilocybe Cubensis,0.059,0.1663,11.3157,1.6948
T-592,Fruit,APE-1.3.2,,Psilocybe Cubensis,0.341,1.4012,13.6612,0.3692
T-593,Fruit,Monster PE,,Psilocybe Cubensis,0.088,0.3883,12.7475,0.6846
T-594,Fruit,APE-1.3.1,,Psilocybe Cubensis,0.338,1.0868,16.1214,0.3793
T-595,Fruit,PE7-Sporulated,,Psilocybe Cubensis,0.065,0.2137,6.2381,1.3873
T-596,Fruit,H. Blue Meanies,,Psilocybe Cubensis,0,0.0616,1.0365,3.95
T-597,Fruit,Shakti-Sample-#1,,Psilocybe Cubensis,0.048,0.1136,10.0681,0.3656
T-598,Fruit,Shakti-Sample-#2,,Psilocybe Cubensis,0.065,0.1742,12.6408,0.3957
T-599,Fruit,Albino Tidal Wave-5.9g,,Psilocybe Cubensis,0.069,0.1808,13.9818,0.2298
T-600,Fruit,Thai,,Psilocybe Cubensis,0.091,0.3481,8.301,0.2301
T-601,Fruit,Penis Envy - 5.7g,,Psilocybe Cubensis,0.059,0.1416,9.7949,1.365
T-602,Fruit,Joe PP,,Psilocybe Cubensis,0.076,0.2811,11.6798,0.2194
T-603,Extract,ATW - 1.0g ,,Psilocybe Cubensis,0.084,0.4391,39.1334,2.5288
T-604,Edible,Micro-Mush Chocolate,,Psilocybe Cubensis,0,0.0043,0.0198,0.1739
T-605,Edible,Pretzel Chocolate Bar,,Psilocybe Cubensis,0.044,0.0092,0.243,0.2808
T-606,Fruit-QC,Tryp-QC-#2-34,,Psilocybe Cubensis,0.082,0.3033,4.7035,0.7564
T-607,Fruit-QC,Tryp-QC-#2-35,,Psilocybe Cubensis,0.079,0.2993,4.7081,0.7835
T-608,Fruit-QC,Tryp-QC-#2-36,,Psilocybe Cubensis,0.083,0.2966,4.5963,0.7818
T-609,Fruit-QC,Tryp-QC-#2-37,,Psilocybe Cubensis,0.091,0.2935,4.6114,0.7601
T-610,Fruit-QC,Tryp-QC-#2-38,,Psilocybe Cubensis,0.074,0.2948,4.444,0.7317
T-611,Fruit,PE7-Stone,,,0.021,0.0588,0.6028,0
T-612,Fruit,Ps. Natalensis Mycellium,,,0.097,0.1388,14.0967,0
T-613,Fruit,Enigma #1,20220201,Psilocybe Cubensis,0.051,0.0847,7.3054,1.5423
T-614,Fruit,Enigma #2,20221101,Psilocybe Cubensis,0,0.0745,1.3116,2.3583
T-615,Fruit,AJMF CVSG D:85-90 4days H:4/15,,,0.081,0.2575,11.6606,1.2436
T-616,Fruit,Avery,,,0.053,0.2346,6.2333,0.3141
T-617,Fruit,Halo Gates,,,0.081,0.2131,11.273,0.3175
T-618,Fruit,Hillbilly CVSG-2nd Flush. D:131-18 hrs. H:4/29,,,0,0.0547,2.0878,0.1714
T-619,Fruit,Hillbilly CVSG-1st Flush. D: 85-90 4days. H: 4/23,,,0.082,0.164,9.8455,0.6084
T-620,Fruit,Mak Galactic CVSG D: 85-90 (4 days). H: 4/18,,,0.12,0.2945,14.8421,0.6226
T-621,Fruit,Mak Galactic CVS/Az. D: 131-18 hrs. H:4/26,,,0.049,0.1891,6.224,2.7024
T-622,Fruit,Mak Galactic CVS/Oyster. D: 131-18 hrs. H: 4/26,,,0.051,0.0951,3.3915,2.2982
T-623,Fruit,Mak Galactic CVSG D:131 18 hrs. H: 4/26,,,0.044,0.1332,5.6052,2.8844
T-624,Fruit,Melmak,,,0.12,0.1857,13.1017,0.3709
T-625,Fruit,Tidalwave,,,0.069,0.1843,4.3525,0.8432
T-626,Fruit,TW/APE CVG-2nd Flush. D: 131 18 hrs. H: 4/28,,,0,0.0809,1.4917,1.7476
T-627,Fruit,TW/APE CVG-1st Flush. D: 131-18 hrs. H: 4/11,,,0.066,0.2156,7.2256,1.0346
T-628,Fruit,TW/APE CVSG. D: 85-90 4days. H: 4/11,,,0.103,0.2771,10.1475,0.2485
T-629,Fruit,Lucid Gates,,,0.051,0.1462,12.2113,2.254
T-630,Fruit,Blue Meanies - Fruit,,,0.128,0.4868,9.4576,0.4873
T-631,Fruit,Lucestic Golden Teacher - Fruit,,,0.138,0.5499,10.095,0.3303
T-632,Edible,Chocolate bar--#1,3.5g bar,,0,0.0168,0.0314,0.2064
T-633,Fruit,Trinity - Homogenized,,,0.077,0.2131,7.2211,0.7641
T-634,Fruit-QC,Tryp-QC-#3-1,,,0.136,0.4214,9.4574,0.6079
T-635,Fruit-QC,Tryp-QC-#3-2,,,0.15,0.4435,9.3744,0.5501
T-636,Fruit-QC,Tryp-QC-#3-3,,,0.12,0.4278,9.3323,0.5814
T-637,Fruit,Blue Meanies - Homogenized,,,0.108,0.4023,9.2437,0.2632
T-638,Fruit,Lucestic Golden Teacher - Homogenized,,,0.242,0.742,8.9374,0.6027
T-639,Edible,Chocolate bar-#2,3.5g bar,,0,0.0168,0.0257,0.2069
T-640,Edible,Chocolate bar-#3,3.5g bar,,0,0.0157,0.0244,0.1999
T-641,Concentrate ,DMT Crashout,,,0,0,0,0
T-480,Concentrate ,DMT Isolate,,,0,0,0,0
T-566,Concentrate ,S-Bark c1,,,0,0,0,0
T-642,Fruit,Hillbilly Pumpkin,Gummies & Chocolate Input,,0,0.0675,5.0438,0.6504
T-643,Concentrate,IT F-1,,,0,0.1336,0.6626,0.0067
T-644,Concentrate,Sub-A Extract,,,0,0.1834,5.5587,0.0037
T-645,Concentrate,Aborts 1st,,,0.077,0.3208,14.9388,0.2313
T-646,Fruit,Fruit Pre,,,0,0,2.7922,0.5537
T-647,Concentrate,Fruit First,,,0,0.2148,3.7413,0.2065
T-648,Bio (post extract),Sub A Post,,,0,0,0.1503,0
T-649,Bio,Sub A Pre,,,0,0,0.2138,0
T-650,Fruit,Fruit Post,,,0,0.0649,0.8769,0.0349
T-651,Fruit,Hillbilly,T0523,,0.078,0.1914,8.3078,1.2155
T-652,Fruit,Melmac Penis Envy,T0523,,0.072,0.1908,11.2922,0.5664
T-653,Fruit,Jack Frost,T0523,,0.085,0.2807,5.9832,0.7446
T-654,Fruit,SV13 Yeti Chodewave,T0523,,0.103,0.3651,15.2431,0.4546
T-655,Fruit,Albino MVP,T0523,,0.206,0.5491,18.4753,0.4444
T-656,Fruit,PE7-Sporulated-1,Size v. Maturity ,PE7,0.079,0.4001,7.764,0.8368
T-657,Fruit,PE7-Sporulated-2,Size v. Maturity ,PE7,0.062,0.2745,3.8581,0.7132
T-658,Fruit,PE7-Veil-Break-1,Size v. Maturity ,PE7,0,0.0564,1.9113,0.8174
T-659,Fruit,PE7-Veil-Break-2,Size v. Maturity ,PE7,0,0.0792,2.4077,1.5
T-660,Fruit,PE7-Premature-1,Size v. Maturity ,PE7,0,0.2201,1.3282,0.8579
T-661,Fruit,PE7-Premature-2,Size v. Maturity ,PE7,0.047,0.0685,1.6556,1.1973
T-662,Fruit,PE7-Degraded,Size v. Maturity ,PE7,0,0.037,2.2538,0.7994
T-663,Fruit,Yeti,BetaCarbs,Yeti,0.04,0.1572,9.1219,1.8079
T-664,Fruit-QC,Tryp-QC-#2-39,,,0.074,0.2908,4.8044,0.8166
T-665,Fruit-QC,Tryp-QC-#2-40,,,0.078,0.2892,4.9241,0.8294
T-666,Fruit-QC,Tryp-QC-#2-41,,,0.082,0.2953,4.7335,0.7918
T-667,Fruit-QC,Tryp-QC-#3-4,,,0.11,0.3552,9.0929,0.5302
T-668,Fruit-QC,Tryp-QC-#3-5,,,0.137,0.4316,9.2556,0.5895
T-669,Fruit,B+ PSI 1st Flush,HB4. #002,,0.102,0.3564,5.5823,0.3611
T-670,Fruit,B+ QS 1st Flush,HB4. #003,,0.065,0.2167,14.6801,0.3728
T-671,Fruit,GT ,#004,,0.105,0.434,7.2019,0.3974
T-672,Fruit,BM Fruit-1,20230521.1,,0.09,0.429,8.2156,0.3581
T-673,Biomass,Homogenized Biomass 1,,Golden Teachers,0.03,0.1127,1.4446,1.5366
T-674,Fruit,Homogenized Biomass 2,Dark/Old Fruit. Second Flush,Golden Teachers,0.064,0.2927,7.1136,1.3337
T-675,Biomass,Homogenized Biomass 3,,Golden Teachers,0,0.0302,0.2997,2.3286
T-676,Fruit-QC,Tryp-QC-#3-6,,,0.151,0.3631,8.9314,0.5496
T-677,Fruit-QC,Tryp-QC-#3-7,,,0.129,0.3727,9.0226,0.5694
T-678,Fruit-QC,Tryp-QC-#3-8,,,0.139,0.3289,9.1784,0.6079
T-679,Fruit-QC,Tryp-QC-#3-9,,,0.143,0.3395,8.6529,0.5339
T-680,Fruit,Machine Elf,,,0.104,0.2348,6.6099,0.5852
T-681,Fruit ,UFO ,20230417,,0.055,0.2105,9.9033,2.2553
T-682,Capsule,Lot 1 ,20230417,,0.052,0.0661,2.195,0.9683
T-683,Capsule,Lot 2,20230417,,0,0.0547,2.2711,0.897
T-684,Capsule,Lot 3,20230417,,0.042,0.0735,2.07,1.0556
T-685,Gummy,PE7 Gummy (Double Extract) ,,,0,0,0,0.0001
T-686,Gummy,Hillbilly Pumpkin Gummy - Remelt ,,,0,0,0,0.0397
T-687,Gummy,Hillbilly Pumpkin Gummy - 1st Pour ,,,0,0,0,0.0605
T-688,Concentrate,Wolf Extract 1 ,,,0,0.077,3.3393,0.3233
T-689,Fruit,B+ -QS ,HB4 - #003,,0,0.2815,8.2914,0.2086
T-690,Gummy,PE7 Gummy - Single Extract,,,0,0,0,0.0796
T-691,Gummy,PE7 Gummy - Single Extract - Double Filter ,,,0,0,0,0.0733
T-692,Fruit,TWGRYA20230608,01. PRE-EXT Control,,0.063,0.0462,2.4479,0.2352
T-693,Fruit,Hillbilly Pumpkin,6152023,,0.147,0.1381,8.6984,0.2963
T-694,Fruit,Albino Thai Iceberg,6152023,,0.081,0.1594,5.8028,0.353
T-695,Fruit,Hillbilly,6152023,,0.076,0.253,12.9956,1.309
T-696,Fruit,Albino Louisiana,6152023,,0.052,0.1695,4.6099,0.774
T-697,Capsule,Sight Capsules - Albino Lousisana,6152023,,0.063,0.1653,6.2629,0.6659
T-698,Edible,Space Rope Entity,6152023,,0,0,0.0346,0.3806
T-699,Edible,Higher Bar - Thrashers ,Thrashers,,0.005,0,0.0225,0.0345
T-700,Concentrate,Amanita-Extract,#652820231,,0,0,0,0
T-701,Edible,Amanita Gummy 1 (Blue Rasberry),#652820231,,0,0,0,0
T-702,Edible,Amanita Gummy 2 (Grape),#652820231,,0,0,0,0
T-703,Edible,Amanita Milk Chocolate,#652820231,,0,0,0,0
T-704,Edible,Amanita Dark Chocolate,#652820231,,0,0,0,0
T-705,Edible,Trinity+Conc Dark Chocolate Bar,,,0.006,0.0058,0.029,0.196
T-706,Fruit-QC,Tryp-QC-#3-10,,,0.145,0.332,8.2937,0.4965
T-707,Concentrate,Old Extract ,,,0.124,0.409,17.9992,0.9249
T-708,Concentrate,New Extract,,,0.077,0.4292,20.8371,1.9996
T-709,Fruit ,01202023-1 Homogenized Powder,,,0.043,0.1814,7.9077,0.7984
T-710-R1,Concentrate,Infused Alginate Beads ,AlginateBeads-(1) - 2g,,0.041,0.114,2.2942,0.7189
T-711,Edible,Milk Chocolate ,ChocolateBar-(001),,0,0.0082,0.0572,0.0213
T-712,Fruit ,ART x AVA x ST,20230605,,0.078,0.2995,14.4494,0.2222
T-713,Fruit ,Albino Chode Wave,20230605,,0.116,0.3413,12.2084,0.578
T-714,Fruit ,Bluey Vuitton,20230605,,0.09,0.1789,15.1347,0.1774
T-715,Fruit ,Hillbilly Pumpkin,20230605,,0.106,0.1654,9.0014,0.2749
T-716,Fruit ,SV10,20230605,,0.089,0.2797,10.6288,0.4302
T-717,Fruit ,Yellow Umbo,20230605,,0.056,0.1695,6.565,0.5864
T-718,Fruit ,DCIS,,,0.117,0.385,7.0997,0.252
T-719,Fruit-QC,Tryp-QC-#3-11,,,0.118,0.3819,9.1819,0.554
T-710-R2,Concentrate,Infused Alginate Beads ,,,0.032,0.1189,2.4782,0.482
T-710-R3,Concentrate,Infused Alginate Beads ,,,0.038,0.1707,2.0991,0.8797
T-720,Concentrate,E001 Methanol Extract,E001,,0.149,0.4484,17.372,1.3224
T-721,Concentrate,E002,E002,,0.078,0.8541,18.733,0.9805
T-722,Concentrate,DM001,DM001,,0.006,0.0467,0.9292,0.0286
T-723,Concentrate,TWGDIM20230620-X01,,,0.084,0.5465,23.0654,12.2551
T-724,Fruit ,TWGDIM20230620-F01,,,0.06,0.1977,5.7232,2.9617
T-725,Fruit-QC,Tryp-QC-#3-12,,,0.111,0.3594,8.5922,0.5463
T-726,Capsule,#001 ,,,0.047,0.1368,2.0968,1.9446
T-727,Isolate,FP,,,0,0,0,0
T-728,Concentrate,Sample,,,0.089,0.2893,8.4975,0.0075
T-729,Isolate,4-AcO-DMT Fumerate,Batch #101,,0,0,0,0
T-730,Edible,Space Dust Pop Rocks,,,0,0,0.0794,0.5382
T-731,Edible,Mushies Gummy,,,0,0,0.0148,0.1753
T-732,Concentrate,DMT,,,0,0,0,0
T-733,Fruit,JMF,6,,0.105,0.5275,9.0206,0.6253
T-734,Fruit,Brazil,7,,0.098,0.3902,6.5633,0.2852
T-735,Fruit,BM,5,,0.095,0.419,8.0397,0.2779
T-736,Concentrate,Blue Meanie Lemon-tek,,,0,0,0.1093,3.7003
T-737,Concentrate,APE Lemon-tek,,,0,0,0,4.1318
T-738,Concentrate,230607-met-2pc,230607,,0.089,0.4108,20.1116,1.6388
T-739,Concentrate,230607-met-3pc,230607,,0.096,0.3919,18.572,1.4916
T-740,Concentrate,230607-met-4pc,230607,,0.109,0.4624,19.1062,1.4136
T-741,Edible,SyrianRueGummy (WK-00005),BB-02/03/25,,0,0,0,0
T-742,Spore,Spore Baby Treasure Coast,,,0,0,0,0
T-743,Capsule,OS Cap 1,,,0.046,0.2259,6.4851,0.9589
T-744,Capsule,OS Cap 2,,,0.064,0.1856,5.9028,0.8644
T-745,Fruit,Hillbilly Mutant,,,0.065,0.0704,6.7685,0.0767
T-746-R1,Fruit,TWA Non Blueing,4523,,0,0,0,0
T-747,Fruit,HB-G,6823,,0,0.1118,4.7732,1.2585
T-748,Fruit,ATwA,42723,,0.072,0.2397,11.5202,0.9292
T-749,Fruit,AAt,51123,,0.09,0.2183,7.5211,0.1468
T-750,Fruit-QC,Tryp-QC-#3-13,,,0.139,0.3458,8.7591,0.5585
T-751,Fruit-QC,Tryp-QC-#3-14,,,0.124,0.3645,8.6958,0.5819
T-752,Fruit-QC,Tryp-QC-#3-15,,,0.127,0.3852,8.9763,0.5734
T-753,Edible,PE7 Gummy ,,,0,0,0,0.0612
T-754,Edible,PE7 Gummy Dry Prep ,,,0,0,0,0.049
T-755,Edible,SyrianRueGummy (WK-00005) Dry Prep ,,,0,0,0,0
T-756,Edible,Mushie Gummies Dry Prep ,,,0,0,0.0112,0.1875
T-729-R1,Isolate,4-AcO-DMT Fumerate,Batch #101,,0,0,0,0
T-757,Concentrate,23070-1,,,0.122,0.4315,25.6895,0.9486
T-758,Concentrate,230705-2,,,0.07,0.4457,17.2759,0.9943
T-759,Concentrate,230705-3,,,0.068,0.3628,14.232,1.0254
T-760,Fruit,PEU-F1,1,,0.083,0.2566,8.5795,0.4629
T-761,Fruit,JMF-F1,1,,0.071,0.1101,5.1049,0.1548
T-762,Fruit,APE-F1,1,,0.145,0.4572,8.5799,0.5168
T-763,Fruit,HB-F1,1,,0.12,0.447,7.5232,0.3189
T-764,Fruit,GT,SO1,,0.04,0.079,6.7552,1.6954
T-765,Tincture,GT ex,A-2,,0,0.0056,0.4908,0.0066
T-766,Tincture,GT ex,B-1,,0,0,0.0534,0.001
T-767,Tincture,GT ex,B-2,,0,0.0068,0.4979,0.0086
T-768,Tincture,GT ex,B-3,,0.005,0.0216,0.0151,0.0309
T-769,Tincture,GT ex,B-4,,0,0,0.0153,0
T-770,Tincture,GT ex,B-5a,,0,0,0,0
T-771,Tincture,GT ex,B-5b,,0,0,0,0.0506
T-772,Concentrate,Bull Run Extract,,,0.119,0.2742,14.9061,0.9984
T-773,Concentrate,S-Bottom Extract,,,0,0.0474,3.0265,0.0235
T-774,Fruit,MVP ,,,0.086,0.2629,17.3317,0.2717
T-775,Tincture,3-8-23 Tincture,,,0,0.0106,0.7919,0.0099
T-746-R2,Fruit,TWA Non Blueing,4523,,0.025,0.0124,0.0765,0
T-776,Fruit-QC,Tryp-QC-#3-16,,,0.09,0.3095,8.5235,0.5746
T-777,Fruit-QC,Tryp-QC-#3-17,,,0.137,0.3502,8.9451,0.6188
T710-4,Concentrate,Infused Alginate Beads ,,,0.112,0.1089,3.373,0.4714
T710-5,Concentrate,Infused Alginate Beads ,,,0.102,0.1426,3.5727,0.446
T-711-2,Concentrate,Milk Chocolate ,ChocolateBar-(001),,0,0.0125,0.0387,0.017
T-711-3,Concentrate,Milk Chocolate ,ChocolateBar-(001),,0,0.0299,0.0673,0.0145
T-778-1,Concentrate,Red Syrian Rue Extract,,,0,0,0,0
T-778-2,Concentrate,Red Syrian Rue Extract,,,0,0,0,0
T-778-3,Concentrate,Red Syrian Rue Extract,,,0,0,0,0
T-779-1,Concentrate,Yellow Syrian Rue Extract,,,0,0,0,0
T-779-2,Concentrate,Yellow Syrian Rue Extract,,,0,0,0,0
T-779-3,Concentrate,Yellow Syrian Rue Extract,,,0,0,0,0
T-780,Edible,700mg Amanita,62720231,,0,0,0,0
T-781,Fruit-QC,Tryp-QC-#3-18,,,0.145,0.3341,9.1219,0.5745
T-782,Fruit,MELMAC,,,0,0.1157,6.8105,1.1478
T-783,Fruit,ITW PE,,,0,0.156,4.6914,1.9563
T-784,Fruit,APE,G1C0T0-3,,0.078,0.2995,6.9849,1.8926
T-778-3,Concentrate,Red Syrian Rue Extract,,,0,0,0,0
T-779-3,Concentrate,Yellow Syrian Rue Extract,,,0,0,0,0
T-785,Fruit,Hill Billy Dried Fruit,,,0.068,0.2153,6.8887,0.2426
T-786,Concentrate,MHRBX,1,,0,0,0,0
T-787,Concentrate,NN-DMT Vape,1,,0,0,0,0
T-788,Edible,AL 0.25g - Rep 1,S1,,0,0.0207,0.0151,0.1146
T-789,Edible,AL 0.25g - Rep 2,S2,,0,0.0192,0.0179,0.1377
T-790,Edible,AL 0.25g - Rep 3,S3,,0,0.0144,0.0221,0.1508
T-791,Edible,AL 0.25g - Rep 4,S4,,0,0.0134,0.0241,0.1835
T-792,Edible,AL 2G - Rep 1,S1,,0,0.0107,0.0241,0.1432
T-793,Edible,AL 2G - Rep 2,S1,,0,0.015,0.0148,0.1333
T-794,Edible,AL 2G - Rep 3,S1,,0,0.0175,0.0156,0.1307
T-795,Edible,AL 2G - Rep 1,SSS,,0,0.0107,0.0209,0.1408
T-796,Edible,AL 2G - Rep 2,SSS,,0,0.0032,0.0384,0.1685
T-797,Edible,AL 2G - Rep 3,SSS,,0,0.0116,0.0314,0.1493
T-798,Concentrate,230720-4,,,0.095,0.4605,22.1737,0.4963
T-799,Concentrate,230709-3,,,0.107,0.6095,31.4868,1.1388
T-800,Concentrate,230709-2,,,0.147,0.6934,39.1074,2.5971
T-801,Concentrate,230709-1,,,0.098,0.709,39.6146,2.8053
T-802,Concentrate,230709-2B,,,0.092,0.3696,18.141,1.159
T-800 Redo,Concentrate,230709-2,,,0.165,0.6802,36.7089,2.35
T-801 Redo,Concentrate,230709-1,,,0.156,0.6452,37.7153,2.6232
T-803,Bark ,20230720-Bark1,,,0,0,0,0
T-804,Bark,20230720-Bark2,,,0,0,0,0
T-805,Concentrate,Batch-A-0001,,,0.047,0.1505,3.5094,0
T-806,Concentrate,Batch-A-0002,,,0.05,0.1548,4.4019,0
T-807,Concentrate,Batch-A-0003,20230801,,0,0.0824,8.2108,0.0245
T-808 Rep 1,Concentrate,230725-CSTL,,,0.024,0.093,5.4368,0.0266
T-809,Concentrate,230725-5,,,0.142,0.6474,26.5927,2.592
T-810,Mycelliated Grain,Hillbilly - 6/2 - Wet,,,0.008,0,0.1228,0
T-811,Mycelliated Grain,Hillbilly - 6/2 - Dry,,,0,0,0,0
T-812,Mycelliated Grain,APE-Revert -7/14 - Wet,,,0.008,0.0052,0.0793,0.0034
T-813,Mycelliated Grain,APE-Revert -7/14 - Dry,,,0,0,0,0
T-814,Fruit-QC,Tryp-QC-#3-19,,,0.295,0.3834,9.4385,0.9131
T-808 Rep 2,Concentrate,230725-CSTL,,,0,0.0436,4.0971,0.004
T-815,Edible,Rest Gummies,5 Pack,,0,0,0,0
T-816,Edible ,Ascend Gummies,30 Pack,,0,0,0,0
T-817,Edible ,Ascend Blend 4000mg,,,0,0,0,0
T-818,Edible,Amanita Pantherina 350mg Gummy - 81020231,? # of Gummies,,0,0,0,0
T-819,Edible ,Amanita Pantherina Chocolate - 8020231,3pc,,0,0,0,0
T-820,Concentrate,M Bio,,,0.037,0.4646,50.6449,3.376
T-821,Concentrate,K Bio,,,0.139,0.6622,37.9287,1.594
T-822,Concentrate,M wate,,,0.123,0.372,29.5797,0.2416
T-823,Fruit,TWAxPE,6/18/2023,,0,0,0,0
T-824,Fruit,Steel Magnolia,6/18/2023,,0.02,0.0358,7.2317,3.7424
T-825,Fruit-QC,Tryp-QC-#3-20,,,0,0.273,8.2184,0.633
T-826,Fruit-QC,Tryp-QC-#3-21,,,0,0.3075,8.046,0.6586
T-827,Fruit-QC,Tryp-QC-#3-22,,,0,0.1417,4.1846,0.3251
T-823 Rep 2,Fruit,TWAxPE,6/18/2023,,0,0.0174,0.0316,0.0267
T-824 Rep 2,Fruit,Steel Magnolia,6/18/2023,,0.018,0.0259,6.6263,3.6439
T-825 Rep 2,Fruit-QC,Tryp-QC-#3-20,,,0.047,0.3826,8.0036,0.6545
T-826 Rep 2,Fruit-QC,Tryp-QC-#3-21 ,,,0.03,0.2825,7.8756,0.6256
T-827Rep 2,Fruit-QC,Tryp-QC-#3-22 ,,,0.02,0.1337,3.9707,0.3407
T-823 Rep 3,Fruit,TWAxPE,6/18/2023,,0.03,0.0721,1.1788,0.8575
T-824 Rep 3,Fruit,Steel Magnolia,6/18/2023,,0.029,0.0449,6.4534,4.0256
T-828,Fruit,GT-QS-#009,,,0.02,0.3775,8.6517,0.2098
T-829,Fruit ,JAPEW-#008,,,0.046,0.9592,14.5133,1.0022
T-830,Fruit,EN-D1,8/3/2023,,0,0.0559,8.8213,0.6866
T-831,Fruit,EN-FD2,8/3/2023,,0,0.0545,13.0233,0.2393
T-832,Edible,Machine Elf Brain Bar,,,0,0,0.0143,0.8078
T-833,Fruit ,Blend 10 Homogenized,,,0.025,0.2071,6.8907,0.4017
T-834,Edible,Blend 10 Brain Bar,,,0,0,0,0
T-835,Edible,0.2g - LM - 5mg LR Brain Bite - Old,2-3 Months Old ,,0,0,0.0064,0.1083
T-836,Edible,0.2g ME - LM - 5mg LR Brain Bites ,Manufacture Date,,0,0.0013,0,0.1081
T-837,Edible,0.2g - AshwaMagBark Brain Bites ,Manufacture Date,,0.003,0.0157,0.2287,0.0369
T-838,Edible,0.2g - LM  Brain Bites,Manufacture Date,,0,0.0014,0.0023,0.1485
T-839,Fruit-QC,Tryp-QC-#3-22 ,,,0.028,0.2423,7.8007,0.574
T-830-C,Fruit,EN-D1,8/3/2023,,0,0,0,0
T-831-C,Fruit,EN-FD2,8/3/2023,,0,0,0,0
T-840,Concentrate,GM-Extract ,,,0.06,0.4621,24.194,1.265
T-841,Edible,GM-Honey,,,0.005,0.006,0.0056,0.5394
T-842,Edible,Moonbars Captan Crunch ,,,0,0,0.0338,0.4828
T-843,Fruit-QC,Tryp-QC-#3-23,,,0.054,0.3093,8.194,0.6444
T-844,Fruit-QC,Tryp-QC-#3-24,,,0.037,0.3041,8.2022,0.6126
T-845,Fruit,AZ GT,,,0.013,0.089,1.626,0.2163
T-846,Fruit,AZ PE,,,0,0.1619,3.3111,1.2057
T-847,Fruit,RK PE,,,0.011,0.121,5.8295,0.5479
T-848,Fruit,ENIGMA,,,0,0.0718,9.0053,0.8473
T-849,Concentrate,Spice Sample,9/5/2023,,0,0,0,0
T-850,Concentrate,NNDMT Vape,2,,0,0,0,0
T-851,Concentrate,Alginate Beads,2,,0,0,1.7488,1.7187
T-852,Concentrate,Brain Health Blend,,,0.021,0.1841,8.115,0.7188
T-853,Fruit-QC,Tryp-QC-#3-24,,,0,0.3021,8.3294,0.6651
T-854,Edible,2.5mg Extra Strength SME Gummies,AAEV188/AP090123,,0,0,0,0.0842
T-855,Edible,2.5mg Extra Strength SME Gummies,AAEV188/AP090123,,0,0,0,0.0962
T-856,Edible,Amanita White Chocolate (350mg/piece),9132023,,0,0,0,0
T-857,Concentrate ,Amanita Extract ,9132023,,0,0,0,0
T-858,Fruit,P.E (Spec),CH1,,0.167,0.6352,4.3829,4.0859
T-859,Fruit,Melmak,CH2,,0.184,0.7003,10.2978,2.0141
T-860,Fruit,Hillbilly,CH3 (115),,0,0.0302,1.8409,1.2214
T-861,Fruit,Hillbilly with Food,CH4,,0.048,0.15,6.0092,1.5777
T-862,Fruit,TWAPE,CH5,,0.054,0.1988,9.4535,2.2606
T-863,Fruit,Ps. Natalensis,CH6,,0.106,0.5875,8.1634,2.4162
T-864,Edible,Peach-Serrano,,,0,0.004,0.1157,0.0197
T-865,Edible,Blood-Orange ,,,0,0,0.0053,0.1886
T-866,Concentrate,Exract A-1,,,0,0,0,0.094
T-867,Concentrate,Extract B-1,,,0,0,0.0022,0.0163
T-868,Concentrate,Extract C-1,,,0,0.0011,0,0.0085
T-869,Fruit,Mix A-1,,,0.034,0.1284,4.2842,1.7232
T-870,Fruit ,NB-P.Free-1,,,0,0.0156,0.0379,0
T-871,Fruit ,NB-P.Free-2,,,0,0.0079,0.0276,0
T-872,Fruit ,NB-P.Free-3,,,0,0.0092,0.0203,0
T-873,Fruit ,NB-P.Free-4,,,0,0.0113,0.0215,0
T-874,Fruit-QC,Tryp-QC-#3-25,,,0.078,0.3498,8.9475,0.556
T-875,Edible,Gucci Gooz,,,0,0,0.0219,0.0643
T-876,Edible,Synergy Chocolate,,,0.003,0.0035,0.1395,0.1123
T-877,Fruit,Jack Frost (Old),,,0.054,0.4807,4.7,1.1739
T-878,Fruit,Unknown Mushroom,,,0.312,1.3638,6.9778,0.2798
T-879,Fruit,Blend 1 Chill,,,0,0.0365,1.2016,0.0959
T-880,Fruit,Blend 2 Daytime,,,0,0.0366,1.8067,0.0824
T-881,Fruit-QC,Tryp-QC-#3-26,,,0.081,0.3935,9.8084,0.5653
T-882,Fruit-QC,Emerald Tryptamine Test in Porcini,,,0.031,0.0838,0.0524,0.0234
T-882,Fruit-QC,Emerald Tryptamine Test in Porcini-2,,,0.034,0.0891,0.0543,0.0238
T-851-R2,Concentrate,Alginate Beads,2,,0.025,0.0479,1.8141,1.4932
T-851-R3,Concentrate,Alginate Beads,2,,0.026,0.0902,1.8327,1.3581
T-883,Fruit,Azul Ape,2.12,,0.062,0.3165,8.6437,0.7653
T-884,Fruit,Mac Galactic,H:10/2. D:131-18hrs,,0.031,0.1406,8.675,2.0816
T-885,Fruit,Casper Pumpkin,H:10/2. D:131-18hrs,,0.051,0.3354,8.947,2.174
T-886,Fruit,Toque F8 (Enigma),H:10/2. D:131-18hrs,,0.05,0.2877,16.9788,0.3282
T-887,Fruit,Albino Chodewave,H:10/2. D:131-18hrs,,0.066,0.5237,12.1255,1.9749
